V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
8.751485179,9.983990219,6.153468683,5.739294227,3.213546901,2.726715533,5.369091163,6.595503944,2.998207865,7.784856826,4.497567623,2.353191335,6.066683441,5.983846542,7.661588125,2.394884413,2.74077511,2.482748779,2.367065493,3.155184396
4.553857268,2.187750021,4.881202042,7.032797645,2.481116367,3.421754009,5.731024903,20.49711618,4.339199416,18.9152145,3.156280175,4.298432038,10.18245636,3.934274617,11.69119299,6.159371336,5.570899401,3.955736782,6.352616983,7.837045693
9.586685242,7.172434047,4.782976981,2.379021983,2.090443367,10.01266769,3.704818123,14.07279257,3.877984707,4.09476989,2.048021168,13.36883875,6.646321207,4.258139791,2.291465562,6.038221821,3.12120947,11.26814733,2.302004652,5.143088667
2.040604349,3.591201681,8.736723674,6.285214342,4.199059951,2.054897253,2.482108948,8.529198054,9.695536863,2.809129991,4.622514591,7.109735157,8.429477496,4.711916351,2.62426449,6.986313717,2.313741629,16.43391099,3.565309778,10.78331989
4.915298263,3.033741596,5.972354877,7.619059802,5.985901444,2.680893621,9.664574461,12.29091212,4.423838905,2.866939772,5.81146677,7.961064774,19.20493157,2.299899954,2.244543475,2.493029632,9.718824482,2.278271281,9.101016003,6.203619855
4.312946295,9.529674787,5.665173577,4.633204908,2.847348584,6.285418602,5.999605583,5.071577267,21.62121729,4.159255504,2.022422604,3.366309376,2.00005031,3.595929212,2.647342728,5.222720604,3.56678353,5.36022383,3.307999652,13.90955672
3.833817421,5.4946125,2.205263085,5.965529203,3.956335438,2.873668314,3.405496172,3.628979707,3.727336605,4.371878269,5.52785994,5.301510465,3.103302173,2.030440653,4.642379724,3.846472749,2.725454393,3.39315606,2.010647922,5.788973991
2.121107015,9.973808642,2.760617939,15.41068944,5.006034883,11.37408135,4.281518865,3.418057822,7.017158827,4.064060989,9.28114225,8.043681476,7.946837431,2.816548594,12.52800975,2.503214094,7.036756447,6.936019298,2.016030701,6.342331799
21.64868243,2.499529462,4.766673634,9.891494797,8.448026014,4.538742713,4.094617281,5.665810907,3.434874566,3.50099366,7.20227321,4.577800241,3.58496288,3.832374456,7.953467342,4.140286496,3.843746433,5.235878107,5.090420741,2.105967911
10.79491413,4.728761282,2.663639165,11.259389,37.13318683,5.249172303,15.50749484,5.567636331,7.937262977,11.09654521,3.143603676,12.7045056,28.8773479,2.778325166,4.365536799,4.391398892,9.926750794,5.026591711,3.110410186,4.15078026
2.111560064,2.710990969,3.828158037,4.597475972,5.400904921,2.289772306,3.343214833,4.113462085,2.226436663,4.140068309,2.11273285,2.787015007,6.265439271,2.735944702,11.73175125,4.929044067,6.141962283,3.58007518,8.575279608,2.003789912
2.398855783,2.096099854,2.244089925,4.829736119,5.16113859,11.55454546,2.008013552,2.185945554,2.486602011,4.274195481,2.766250583,6.817171852,2.542977793,7.470909921,6.777378191,2.181110314,5.235618343,2.029435331,2.023331335,2.687915808
5.721003715,5.075420133,5.63178997,5.687592929,2.577359104,5.456972074,3.974333382,2.318165591,5.045040598,4.747176062,3.406920648,6.584293713,5.735563685,9.643735832,2.450142146,3.246422719,10.39436021,3.786521754,2.575116126,6.400577114
